22893	32,89		17796	32,11											
23034	33,18		17905	32,13											
23174	32,82		18013	32,15											
23314	32,56		18121	32,23											
23454	33,07		18230	32,53											
23595	32,96		18338	32,58											
23735	32,99		18447	32,62											
23884	31,35		18564	30,65											
24024	31,25		18672	30,29											
24180	31,28		18798	30,55											
24321	31,38		18906	30,85											
24461	31,51		19015	30,79											
24601	31,85		19123	31,05											
24741	31,51		19232	31,11											
24882	31,98		19340	30,91											
25023	31,67		19449	31,27											
25163	31,74		19557	31,21											
25304	31,54		19665	31,27											
25444	31,91		19774	31,05											
25602	32,19		19899	31,04											
25742	31,57		20008	31,38											
25882	31,75		20116	31,3											
26022	32,19		20225	31,44											
26163	31,97		20333	31,49											
26303	32,28		20442	31,43											
26443	31,79		20550	31,54											
26583	31,64		20658	31,4											
26724	32,03		20766	31,42											
26864	32,23		20875	31,38											
27022	31,96		21000	31,37											
27162	32,14		21109	31,59											
27311	30,73		21226	30,35											
27451	30,48		21335	29,62											
27592	30,69		21443	29,75											
27732	30,77		21552	30,04											
27873	30,71		21660	30,15											
28013	30,76		21769	30,29											
28154	30,9		21876	30,11											
28295	31,02		21984	30,26											
28453	31,04		22110	30,32											
28593	31,43		22218	30,34											
28733	31,23		22326	30,22											
28873	31,14		22435	30,52											
29014	31,09		22543	30,71											
29154	31,27		22651	30,34											
29295	30,92		22760	30,61											
29435	31,27		22868	30,83											
29576	31,36		22976	30,5											
29716	30,88		23084	30,77											
29873	31,54		23209	30,41											
30014	31,43		23318	30,96											
30154	31,72		23426	30,69											
30295	31,24		23535	30,92											
30435	31,55		23643	30,83											
30575	31,41		23751	31,15											
30724	30,02		23867	29,43											
30864	29,85		23976	29,33											
31006	30,21		24084	29,18											
31146	29,98		24192	29,29											
31303	30,37		24318	29,66											
31444	30,06		24426	29,47											
31584	30,45		24534	29,65											
31724	30,18		24643	29,63											
31864	30,44		24751	29,71											
32004	30,28		24860	29,68											
32145	30,68		24968	29,67											
32285	30,49		25077	29,92											
32425	30,57		25185	29,81											
32565	30,68		25293	30,2											
32722	30,46		25418	30,28											
32862	30,53		25527	30,2											
33002	30,74		25635	29,8											
33143	30,75		25743	30,15											
33283	30,78		25852	30,07											
33422	30,92		25960	30,17											
33563	30,86		26069	30,21											
33703	30,93		26177	30,68											
33843	31,06		26285	30,54											
33983	31,07		26393	30,32											
34150	29,53		26527	28,69											
34290	29,41		26636	28,64											
34430	29,53		26744	28,66											
34572	29,76		26852	28,87											
34711	29,41		26960	28,91											
34851	29,75		27068	29,24											
34991	29,87		27176	29,02											
35131	30,10		27285	28,99											
35271	30,01		27393	29,15											
35411	30,01		27501	28,88											
35568	30,23		27627	29,38											
35709	29,87		27735	29,29											
35849	29,92		27844	29,51											
35990	30,13		27952	29,37											
36130	30,36		28061	29,59											
36271	30,15		28169	29,7											
36411	30,18		28277	29,64											
36552	30,24		28385	29,68											
36692	30,11		28494	29,6											
36832	30,10		28602	29,74											
36990	30,59		28728	29,71											
37131	30,05		28836	29,96											
37271	30,4		28945	29,99											
37411	30,38		29053	30,14											
37560	29		29170	28,69											
37701	28,92		29279	28,3											
37841	29,26		29388	28,3											
37982	29,13		29496	28,31											
38122	29,10		29604	28,7											
38262	29,26		29713	28,74											
38419	29,12														
38560	29,19														
38700	29,44														
38840	29,41														
38981	29,47														
39120	29,49														
39260	29,47														
39401	29,88														
39541	29,48														
39682	29,71														
39839	29,95														
39979	29,63														
40119	29,92														
40259	29,89														
40400	29,81														
40540	29,82														
40680	29,83														
40820	29,88														
40970	28,8														
41110	28,46														
