0	158.98
109	136.46
217	124.50
326	110.00
435	96.21
543	84.66
652	75.83
761	70.74
869	65.36
977	62.89
1108	60.69
1217	58.24
1325	56.14
1433	54.89
1541	53.75
1650	52.68
1758	51.68
1867	50.82
1976	50.20
2085	49.56
2211	48.71
2320	48.02
2428	47.89
2537	47.00
2654	45.48
2763	44.85
2871	45.11
2979	44.16
3087	44.18
3196	44.38
3322	43.55
3430	43.72
3539	43.59
3647	43.26
3755	42.80
3864	42.92
3972	42.53
4081	42.61
4189	42.06
4298	42.36
4424	41.61
4532	41.57
4640	41.66
4748	41.44
4857	41.42
4964	41.20
5073	41.50
5182	40.84
5299	39.04
5408	38.92
5534	39.00
5643	38.85
5750	38.61
5859	39.06
5967	38.86
6076	39.09
6184	38.57
6292	38.61
6400	38.09
6509	38.39
6635	38.58
6743	38.40
6851	38.35
6960	38.47
7068	38.38
7176	38.04
7285	38.27
7393	38.06
7501	38.32
7610	38.02
7736	37.75
7845	37.55
7963	35.91
8071	35.81
8180	35.85
8288	35.92
8396	36.04
8504	35.85
8612	35.85
8721	35.97
8847	35.78
8955	36.06
9063	36.27
9172	36.07
9281	36.27
9389	36.23
9497	36.29
9605	35.96
9713	35.99
9822	35.91
9948	36.10
10056	35.64
10164	35.61
10273	36.21
10381	35.78
10490	35.75
10607	33.82
10716	33.59
10824	33.83
10932	34.01
11058	33.84
11166	34.29
11275	34.38
11383	34.16
11491	34.37
11600	34.15
11708	34.54
11817	34.44
11925	34.15
12034	34.67
12160	34.50
12269	34.18
12378	34.47
12486	34.42
12595	34.25
12703	34.60
12811	34.10
12920	34.55
13029	34.31
13137	34.45
13273	32.55
13381	32.83
13490	32.62
13598	32.55
13707	32.61
13815	32.85
13924	32.79
14032	32.71
14141	32.90
14249	33.03
14375	33.01
14483	32.95
14593	33.04
14701	33.07
14810	32.95
14919	33.12
15027	33.27
15136	33.07
15245	33.16
15352	33.14
15479	33.08
15587	33.14
15696	32.85
15804	33.46
15921	31.70
16030	31.37
16138	31.53
16246	31.62
16355	31.71
16463	31.82
16589	31.61
16698	31.75
16805	31.93
16913	31.85
17021	31.76
17130	32.11
17238	32.17
17346	32.20
17455	32.12
17563	32.07
17689	32.51
17796	32.11
17905	32.13
18013	32.15
18121	32.23
18230	32.53
18338	32.58
18447	32.62
18564	30.65
18672	30.29
18798	30.55
18906	30.85
19015	30.79
19123	31.05
19232	31.11
19340	30.91
19449	31.27
19557	31.21
19665	31.27
19774	31.05
19899	31.04
20008	31.38
20116	31.30
20225	31.44
20333	31.49
20442	31.43
20550	31.54
20658	31.40
20766	31.42
20875	31.38
21000	31.37
21109	31.59
21226	30.35
21335	29.62
21443	29.75
21552	30.04
21660	30.15
21769	30.29
21876	30.11
21984	30.26
22110	30.32
22218	30.34
22326	30.22
22435	30.52
22543	30.71
22651	30.34
22760	30.61
22868	30.83
22976	30.50
23084	30.77
23209	30.41
23318	30.96
23426	30.69
23535	30.92
23643	30.83
23751	31.15
23867	29.43
23976	29.33
24084	29.18
24192	29.29
24318	29.66
24426	29.47
24534	29.65
24643	29.63
24751	29.71
24860	29.68
24968	29.67
25077	29.92
25185	29.81
25293	30.20
25418	30.28
25527	30.20
25635	29.80
25743	30.15
25852	30.07
25960	30.17
26069	30.21
26177	30.68
26285	30.54
26393	30.32
26527	28.69
26636	28.64
26744	28.66
26852	28.87
26960	28.91
27068	29.24
27176	29.02
27285	28.99
27393	29.15
27501	28.88
27627	29.38
27735	29.29
27844	29.51
27952	29.37
28061	29.59
28169	29.70
28277	29.64
28385	29.68
28494	29.60
28602	29.74
28728	29.71
28836	29.96
28945	29.99
29053	30.14
29170	28.69
29279	28.30
29388	28.30
29496	28.31
29604	28.70
29713	28.74
